p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
-1     0.0    SCOPA         -1.0          1.0           0.0           0.998         0.091         0.039         0.998         0.091         0.039         1.0           0.0           -0.0          47300.0       0.0           
0.0    0.0    BASICTOOL     -1.0          1.0           -1.0          1.0           0.0           -0.0          1.0           0.0           -0.0          1.0           0.0           -0.0          39700.0       0.0           
0.01   0.0    BASICTOOL     -1.0          1.0           -1.0          1.0           0.0           -0.0          1.0           0.0           -0.0          1.0           0.0           -0.0          39700.0       0.0           
0.02   0.0    BASICTOOL     -1.0          1.0           -1.0          1.0           0.0           -0.0          1.0           0.0           -0.0          1.0           0.0           -0.0          39700.0       0.0           
0.03   0.0    BASICTOOL     -1.0          1.0           -1.0          1.0           0.0           -0.0          1.0           0.0           -0.0          1.0           0.0           -0.0          39700.0       0.0           
0.04   0.0    BASICTOOL     -1.0          1.0           -1.0          0.987         0.053         0.0           0.987         0.053         0.0           1.0           0.0           -0.0          39700.0       0.0           
0.05   0.0    BASICTOOL     -1.0          1.0           -1.0          0.982         0.076         0.0           0.982         0.076         0.0           1.0           0.0           -0.0          39700.0       0.0           
0.06   0.0    BASICTOOL     -1.0          1.0           -1.0          0.965         0.186         0.001         0.97          0.154         0.001         0.995         0.033         0.001         39700.0       0.0           
0.07   0.0    BASICTOOL     -1.0          1.0           -1.0          0.929         0.39          0.001         0.942         0.315         0.001         0.987         0.076         0.001         39700.0       0.0           
0.08   0.0    BASICTOOL     -1.0          1.0           -1.0          0.909         0.514         0.001         0.927         0.411         0.001         0.982         0.103         0.001         39700.0       0.0           
0.09   0.0    BASICTOOL     -1.0          1.0           0.0           0.882         0.744         0.001         0.902         0.629         0.001         0.98          0.115         0.001         39900.0       0.0           
0.1    0.0    BASICTOOL     -1.0          1.0           0.0           0.84          1.012         0.001         0.875         0.806         0.001         0.963         0.206         0.001         40700.0       0.0           
-1     0.001  SCOPA         -1.0          1.0           0.0           0.99          0.169         0.017         0.993         0.174         0.023         0.997         -0.005        0.0           47199.0       0.0           
0.0    0.001  BASICTOOL     -1.0          1.0           -1.0          0.98          -0.202        0.004         0.989         -0.102        0.004         0.991         -0.1          0.005         39246.0       0.0           
0.01   0.001  BASICTOOL     -1.0          1.0           -1.0          0.98          -0.202        0.004         0.989         -0.102        0.004         0.991         -0.1          0.005         39246.0       0.0           
0.02   0.001  BASICTOOL     -1.0          1.0           -1.0          0.987         -0.091        0.002         0.993         -0.043        0.002         0.994         -0.048        0.003         39246.0       0.0           
0.03   0.001  BASICTOOL     -1.0          1.0           -1.0          0.993         -0.027        0.001         0.996         -0.013        0.001         0.996         -0.014        0.001         39256.0       0.0           
0.04   0.001  BASICTOOL     -1.0          1.0           -1.0          0.983         0.043         0.0           0.985         0.047         0.0           0.998         -0.005        0.0           39419.0       0.0           
0.05   0.001  BASICTOOL     -1.0          1.0           0.0           0.979         0.067         0.0           0.981         0.069         0.0           0.998         -0.003        0.0           39681.0       0.0           
0.06   0.001  BASICTOOL     -1.0          1.0           0.0           0.962         0.172         0.001         0.969         0.144         0.001         0.994         0.028         0.001         39681.0       0.0           
0.07   0.001  BASICTOOL     -1.0          1.0           0.0           0.928         0.37          0.001         0.942         0.3           0.001         0.986         0.07          0.001         39682.0       0.0           
0.08   0.001  BASICTOOL     -1.0          1.0           0.0           0.908         0.497         0.001         0.926         0.399         0.001         0.981         0.098         0.001         39684.0       0.0           
0.09   0.001  BASICTOOL     -1.0          1.0           0.0           0.881         0.723         0.001         0.902         0.612         0.001         0.979         0.111         0.001         39883.0       0.0           
0.1    0.001  BASICTOOL     -1.0          1.0           0.0           0.839         0.988         0.001         0.875         0.789         0.001         0.962         0.199         0.001         40672.0       0.0           
-1     0.002  SCOPA         -1.0          1.0           0.0           0.987         0.071         0.007         0.992         0.081         0.011         0.995         -0.01         0.0           47049.0       0.0           
0.0    0.002  BASICTOOL     -1.0          1.0           -1.0          0.96          -0.409        0.004         0.98          -0.194        0.004         0.98          -0.215        0.004         38805.0       0.0           
