p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
-1     0.0    SCOPA         -1.0          1.0           0.0           0.736         0.311         0.002         0.782         -4.202        0.015         0.836         4.513         0.016         56000.0       0.0           
0.0    0.0    BASICTOOL     -1.0          1.0           0.0           0.992         0.019         0.001         0.992         -0.248        0.04          0.992         0.267         0.047         25800.0       0.0           
0.01   0.0    BASICTOOL     -1.0          1.0           0.0           0.992         0.019         0.001         0.992         -0.248        0.04          0.992         0.267         0.047         25800.0       0.0           
0.02   0.0    BASICTOOL     -1.0          1.0           0.0           0.988         0.031         0.001         0.992         -0.248        0.04          0.988         0.279         0.031         25800.0       0.0           
0.03   0.0    BASICTOOL     -1.0          1.0           0.0           0.988         0.031         0.001         0.992         -0.248        0.04          0.988         0.279         0.031         25800.0       0.0           
0.04   0.0    BASICTOOL     -1.0          1.0           0.0           0.981         0.054         0.0           0.992         -0.248        0.04          0.981         0.302         0.019         25800.0       0.0           
0.05   0.0    BASICTOOL     -1.0          1.0           0.0           0.947         0.183         0.001         0.977         -0.691        0.035         0.947         0.874         0.017         26200.0       0.0           
0.06   0.0    BASICTOOL     -1.0          1.0           0.0           0.908         0.378         0.001         0.977         -0.691        0.035         0.908         1.069         0.011         26200.0       0.0           
0.07   0.0    BASICTOOL     -1.0          1.0           0.0           0.897         0.523         0.002         0.973         -0.798        0.034         0.897         1.321         0.012         26200.0       0.0           
0.08   0.0    BASICTOOL     -1.0          1.0           0.0           0.866         0.813         0.002         0.973         -0.798        0.034         0.866         1.611         0.01          26200.0       0.0           
0.09   0.0    BASICTOOL     -1.0          1.0           0.0           0.816         1.357         0.003         0.977         -0.673        0.034         0.816         2.03          0.008         26600.0       0.0           
0.1    0.0    BASICTOOL     -1.0          1.0           0.0           0.777         1.736         0.003         0.974         -0.784        0.035         0.777         2.52          0.008         27300.0       0.0           
-1     0.001  SCOPA         -1.0          1.0           0.0           0.733         0.357         0.003         0.781         -4.137        0.015         0.835         4.494         0.016         55900.0       0.0           
0.0    0.001  BASICTOOL     -1.0          1.0           0.0           0.975         -0.125        0.004         0.982         -0.335        0.021         0.985         0.21          0.026         25529.0       0.0           
0.01   0.001  BASICTOOL     -1.0          1.0           0.0           0.975         -0.125        0.004         0.982         -0.335        0.021         0.985         0.21          0.026         25529.0       0.0           
0.02   0.001  BASICTOOL     -1.0          1.0           0.0           0.975         -0.055        0.002         0.984         -0.304        0.022         0.983         0.249         0.022         25529.0       0.0           
0.03   0.001  BASICTOOL     -1.0          1.0           0.0           0.978         -0.02         0.001         0.986         -0.288        0.023         0.984         0.268         0.024         25532.0       0.0           
0.04   0.001  BASICTOOL     -1.0          1.0           0.0           0.975         0.029         0.001         0.988         -0.274        0.027         0.979         0.304         0.018         25630.0       0.0           
0.05   0.001  BASICTOOL     -1.0          1.0           0.0           0.942         0.152         0.001         0.973         -0.713        0.03          0.946         0.865         0.017         26242.0       0.0           
0.06   0.001  BASICTOOL     -1.0          1.0           0.0           0.905         0.344         0.001         0.973         -0.713        0.03          0.908         1.056         0.011         26242.0       0.0           
0.07   0.001  BASICTOOL     -1.0          1.0           0.0           0.893         0.487         0.002         0.969         -0.824        0.03          0.897         1.311         0.012         26242.0       0.0           
0.08   0.001  BASICTOOL     -1.0          1.0           0.0           0.863         0.773         0.002         0.969         -0.828        0.03          0.866         1.6           0.01          26246.0       0.0           
0.09   0.001  BASICTOOL     -1.0          1.0           0.0           0.813         1.309         0.003         0.973         -0.702        0.029         0.816         2.011         0.008         26642.0       0.0           
0.1    0.001  BASICTOOL     -1.0          1.0           0.0           0.774         1.683         0.003         0.97          -0.815        0.03          0.777         2.498         0.008         27338.0       0.0           
-1     0.002  SCOPA         -1.0          1.0           0.0           0.732         0.487         0.002         0.784         -3.927        0.014         0.835         4.414         0.016         55601.0       0.0           
0.0    0.002  BASICTOOL     -1.0          1.0           0.0           0.958         -0.303        0.005         0.973         -0.44         0.016         0.977         0.137         0.02          25265.0       0.0           
0.01   0.002  BASICTOOL     -1.0          1.0           0.0           0.958         -0.303        0.005         0.973         -0.44         0.016         0.977         0.137         0.02          25265.0       0.0           
0.02   0.002  BASICTOOL     -1.0          1.0           0.0           0.963         -0.17         0.003         0.977         -0.374        0.017         0.977         0.204         0.019         25265.0       0.0           
0.03   0.002  BASICTOOL     -1.0          1.0           0.0           0.97          -0.077        0.002         0.981         -0.33         0.019         0.981         0.254         0.021         25271.0       0.0           
0.04   0.002  BASICTOOL     -1.0          1.0           0.0           0.969         -0.003        0.002         0.984         -0.306        0.023         0.976         0.303         0.016         25450.0       0.0           
0.05   0.002  BASICTOOL     -1.0          1.0           0.0           0.937         0.126         0.001         0.97          -0.738        0.028         0.944         0.865         0.016         26271.0       0.0           
0.06   0.002  BASICTOOL     -1.0          1.0           0.0           0.902         0.311         0.001         0.97          -0.738        0.028         0.908         1.049         0.01          26271.0       0.0           
0.07   0.002  BASICTOOL     -1.0          1.0           0.0           0.891         0.451         0.002         0.966         -0.851        0.028         0.897         1.302         0.012         26271.0       0.0           
0.08   0.002  BASICTOOL     -1.0          1.0           0.0           0.861         0.734         0.002         0.966         -0.851        0.028         0.867         1.585         0.01          26274.0       0.0           
0.09   0.002  BASICTOOL     -1.0          1.0           0.0           0.811         1.271         0.003         0.97          -0.725        0.027         0.817         1.996         0.008         26662.0       0.0           
0.1    0.002  BASICTOOL     -1.0          1.0           0.0           0.773         1.637         0.003         0.967         -0.835        0.028         0.778         2.472         0.008         27356.0       0.0           
-1     0.003  SCOPA         -1.0          1.0           0.0           0.727         0.474         0.002         0.781         -3.934        0.014         0.833         4.408         0.015         55602.0       0.0           
0.0    0.003  BASICTOOL     -1.0          1.0           0.0           0.941         -0.415        0.004         0.964         -0.495        0.013         0.968         0.08          0.016         25010.0       0.0           
0.01   0.003  BASICTOOL     -1.0          1.0           0.0           0.941         -0.415        0.004         0.964         -0.495        0.013         0.968         0.08          0.016         25010.0       0.0           
0.02   0.003  BASICTOOL     -1.0          1.0           0.0           0.949         -0.246        0.003         0.969         -0.421        0.013         0.971         0.175         0.015         25010.0       0.0           
0.03   0.003  BASICTOOL     -1.0          1.0           0.0           0.959         -0.125        0.002         0.974         -0.366        0.015         0.976         0.241         0.017         25024.0       0.0           
0.04   0.003  BASICTOOL     -1.0          1.0           0.0           0.962         -0.025        0.001         0.979         -0.328        0.018         0.974         0.302         0.015         25291.0       0.0           
0.05   0.003  BASICTOOL     -1.0          1.0           0.0           0.933         0.094         0.001         0.966         -0.755        0.024         0.943         0.85          0.016         26298.0       0.0           
0.06   0.003  BASICTOOL     -1.0          1.0           0.0           0.897         0.284         0.001         0.966         -0.755        0.024         0.908         1.039         0.01          26299.0       0.0           
0.07   0.003  BASICTOOL     -1.0          1.0           0.0           0.886         0.421         0.002         0.962         -0.871        0.025         0.896         1.292         0.012         26302.0       0.0           
0.08   0.003  BASICTOOL     -1.0          1.0           0.0           0.856         0.708         0.002         0.962         -0.871        0.025         0.865         1.579         0.01          26306.0       0.0           
0.09   0.003  BASICTOOL     -1.0          1.0           0.0           0.807         1.23          0.003         0.966         -0.744        0.024         0.817         1.974         0.008         26693.0       0.0           
