p    e    name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
-1             0.0            SCOPA         -1.0          1.0           1.0           1.0           0.0           -0.0          1.0           0.0           -0.0          1.0           0.0           -0.0          47600.0       0.0           
0.05           0.0            BASICTOOL     -1.0          1.0           1.0           0.859         0.649         0.0           0.914         0.376         0.0           0.945         0.273         0.001         47600.0       0.0           
0.1            0.0            BASICTOOL     -1.0          1.0           1.0           0.45          3.899         0.001         0.643         2.563         0.001         0.784         1.336         0.001         47600.0       0.0           
0.15           0.0            BASICTOOL     -1.0          1.0           1.0           0.246         8.803         0.003         0.397         6.887         0.003         0.775         1.916         0.002         47600.0       0.0           
0.2            0.0            BASICTOOL     -1.0          1.0           1.0           0.082         15.124        0.006         0.21          11.685        0.005         0.681         3.439         0.003         47600.0       0.0           
0.25           0.0            BASICTOOL     -1.0          1.0           1.0           0.053         19.511        0.01          0.109         15.5          0.007         0.651         4.011         0.004         47600.0       0.0           
0.3            0.0            BASICTOOL     -1.0          1.0           0.999         0.025         24.821        0.016         0.04          20.662        0.012         0.649         4.16          0.004         47600.0       0.0           
0.35           0.0            BASICTOOL     -1.0          1.0           0.994         0.015         31.914        0.027         0.019         27.878        0.022         0.643         4.036         0.004         47600.0       0.0           
0.4            0.0            BASICTOOL     -1.0          1.0           0.979         0.008         40.506        0.043         0.011         36.143        0.037         0.632         4.363         0.004         47600.0       0.0           
0.45           0.0            BASICTOOL     -1.0          1.0           0.94          0.008         54.914        0.077         0.008         50.603        0.068         0.626         4.311         0.004         47600.0       0.0           
0.5            0.0            BASICTOOL     -1.0          1.0           0.82          0.004         75.059        0.14          0.004         70.708        0.127         0.626         4.351         0.004         47600.0       0.0           
0.55           0.0            BASICTOOL     -1.0          1.0           0.66          0.004         98.956        0.251         0.004         94.798        0.235         0.607         4.158         0.01          47600.0       0.0           
-1             0.01           SCOPA         -1.0          1.0           1.0           0.942         -0.121        0.0           0.971         -0.061        0.0           0.971         -0.06         0.0           47600.0       0.0           
0.05           0.01           BASICTOOL     -1.0          1.0           1.0           0.86          0.218         0.001         0.913         0.164         0.001         0.942         0.054         0.001         47600.0       0.0           
0.1            0.01           BASICTOOL     -1.0          1.0           1.0           0.481         3.259         0.001         0.677         2.064         0.001         0.774         1.195         0.001         47600.0       0.0           
0.15           0.01           BASICTOOL     -1.0          1.0           1.0           0.265         7.894         0.003         0.428         6.077         0.003         0.758         1.818         0.002         47600.0       0.0           
