p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
-1     0.0    SCOPA         -1.0          1.0           0.0           0.696         1.878         0.001         0.698         1.86          0.001         0.998         0.018         0.002         50000.0       0.0           
0.0    0.0    BASICTOOL     -1.0          1.0           -1.0          1.0           0.0           -0.0          1.0           0.0           -0.0          1.0           0.0           -0.0          49900.0       0.0           
0.01   0.0    BASICTOOL     -1.0          1.0           -1.0          1.0           0.0           -0.0          1.0           0.0           -0.0          1.0           0.0           -0.0          49900.0       0.0           
0.02   0.0    BASICTOOL     -1.0          1.0           -1.0          1.0           0.0           -0.0          1.0           0.0           -0.0          1.0           0.0           -0.0          49900.0       0.0           
0.03   0.0    BASICTOOL     -1.0          1.0           -1.0          0.996         0.016         0.0           1.0           0.0           -0.0          0.996         0.016         0.0           49900.0       0.0           
0.04   0.0    BASICTOOL     -1.0          1.0           -1.0          0.942         0.259         0.0           0.986         0.07          0.001         0.956         0.188         0.0           49900.0       0.0           
0.05   0.0    BASICTOOL     -1.0          1.0           -1.0          0.824         0.882         0.001         0.942         0.335         0.001         0.882         0.547         0.0           49900.0       0.0           
0.06   0.0    BASICTOOL     -1.0          1.0           -1.0          0.667         1.824         0.001         0.786         1.246         0.001         0.882         0.577         0.001         49900.0       0.0           
0.07   0.0    BASICTOOL     -1.0          1.0           -1.0          0.345         3.762         0.001         0.461         3.082         0.001         0.882         0.679         0.001         49900.0       0.0           
0.08   0.0    BASICTOOL     -1.0          1.0           -1.0          0.194         4.84          0.001         0.305         4.03          0.001         0.878         0.81          0.001         49900.0       0.0           
0.09   0.0    BASICTOOL     -1.0          1.0           -1.0          0.098         5.709         0.001         0.23          4.547         0.001         0.838         1.162         0.001         49900.0       0.0           
0.1    0.0    BASICTOOL     -1.0          1.0           -1.0          0.03          6.469         0.001         0.158         5.026         0.001         0.804         1.443         0.001         49900.0       0.0           
-1     0.001  SCOPA         -1.0          1.0           0.0           0.691         1.865         0.001         0.696         1.854         0.001         0.995         0.011         0.001         50000.0       0.0           
0.0    0.001  BASICTOOL     -1.0          1.0           -1.0          0.958         -0.501        0.004         0.979         -0.259        0.004         0.979         -0.242        0.004         49866.0       0.0           
