p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
-1     0.0    SCOPA         -1.0          1.0           0.0           0.996         -0.128        0.021         0.996         -1.208        1.826         0.996         1.08          1.461         50000.0       0.0           
0.0    0.0    BASICTOOL     -1.0          1.0           -1.0          0.983         -0.776        0.349         0.983         -3.569        7.388         0.983         2.793         4.525         5800.0        0.0           
0.01   0.0    BASICTOOL     -1.0          1.0           -1.0          0.983         -0.776        0.349         0.983         -3.569        7.388         0.983         2.793         4.525         5800.0        0.0           
0.02   0.0    BASICTOOL     -1.0          1.0           -1.0          0.966         -0.724        0.175         0.983         -3.569        7.388         0.966         2.845         2.263         5800.0        0.0           
0.03   0.0    BASICTOOL     -1.0          1.0           -1.0          0.931         -0.552        0.09          0.983         -3.569        7.388         0.931         3.017         1.134         5800.0        0.0           
0.04   0.0    BASICTOOL     -1.0          1.0           -1.0          0.862         -0.172        0.048         0.948         -3.397        2.465         0.897         3.224         0.758         5800.0        0.0           
0.05   0.0    BASICTOOL     -1.0          1.0           -1.0          0.828         0.0           0.039         0.931         -3.293        1.851         0.879         3.293         0.65          5800.0        0.0           
0.06   0.0    BASICTOOL     -1.0          1.0           -1.0          0.793         0.224         0.034         0.914         -3.172        1.482         0.862         3.397         0.57          5800.0        0.0           
0.07   0.0    BASICTOOL     -1.0          1.0           -1.0          0.707         0.81          0.027         0.897         -2.897        1.241         0.793         3.707         0.381         5800.0        0.0           
0.08   0.0    BASICTOOL     -1.0          1.0           -1.0          0.655         1.345         0.025         0.879         -2.724        1.067         0.759         4.069         0.329         5800.0        0.0           
0.09   0.0    BASICTOOL     -1.0          1.0           -1.0          0.6           1.133         0.028         0.833         -7.633        1.513         0.683         8.767         0.555         6000.0        0.0           
0.1    0.0    BASICTOOL     -1.0          1.0           -1.0          0.516         0.694         0.047         0.806         -11.677       1.877         0.597         12.371        0.574         6200.0        0.0           
-1     0.001  SCOPA         -1.0          1.0           0.0           0.991         -0.139        0.009         0.994         -1.213        1.238         0.993         1.074         0.818         50000.0       0.0           
0.0    0.001  BASICTOOL     -1.0          1.0           -1.0          0.796         -3.281        0.059         0.816         -5.192        0.498         0.965         1.911         1.485         6833.0        0.0           
0.01   0.001  BASICTOOL     -1.0          1.0           -1.0          0.796         -3.281        0.059         0.816         -5.192        0.498         0.965         1.911         1.485         6833.0        0.0           
0.02   0.001  BASICTOOL     -1.0          1.0           -1.0          0.787         -3.116        0.054         0.819         -5.135        0.505         0.954         2.019         1.132         6833.0        0.0           
0.03   0.001  BASICTOOL     -1.0          1.0           -1.0          0.788         -2.601        0.051         0.832         -4.966        0.541         0.941         2.365         0.874         6838.0        0.0           
0.04   0.001  BASICTOOL     -1.0          1.0           -1.0          0.731         -2.288        0.041         0.803         -4.837        0.462         0.909         2.548         0.571         6845.0        0.0           
0.05   0.001  BASICTOOL     -1.0          1.0           -1.0          0.701         -2.152        0.037         0.788         -4.778        0.428         0.89          2.627         0.471         6854.0        0.0           
0.06   0.001  BASICTOOL     -1.0          1.0           -1.0          0.67          -1.934        0.034         0.772         -4.67         0.399         0.871         2.736         0.402         6854.0        0.0           
0.07   0.001  BASICTOOL     -1.0          1.0           -1.0          0.599         -1.42         0.029         0.757         -4.445        0.377         0.809         3.025         0.272         6854.0        0.0           
